clave	concepto	unidad	precio
GC14CE	Muro de mampostería de piedra braza en elementos pequeños como arriates, bases, junteado con mortero cemento arena 1:5.	m3	2,001.48
GC15B	Muro de mampostería de piedra braza, acabado aparente en una cara, junteado con mortero cemento-arena en proporción 1:5.		
GC15BB	Muro de mampostería de piedra braza, hasta 2.50 m de altura, de 20 cm de espesor, junteado con mortero cemento arena 1:5.	m2	421.72
GC15D	Zampeado de piedra braza, con mortero cemento arena en proporción 1:3, incluye: el suministro de los materiales, la mano de obra, acarreo libre, trazo, nivelación, acabado, limpieza, andamios, la herramienta y el equipo necesarios. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.027.		
GC15DH	Zampeado de piedra braza junteado con mortero cemento-arena en proporción 1:3, incluye: materiales, mano de obra y herramienta.	m3	1,705.40
GC16	Muros junteados con mortero cemento arena, incluye: el suministro los materiales, la mano de obra para el acarreo libre, elevación, fabricación del mortero, trazo, enrases, cortes, plomeo, perfilado, acabado, limpieza, andamios, la herramienta y el equipo necesarios. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.017.		
GC16B	Muros de tabique rojo recocido, acabado común, asentados con mortero cemento-arena en proporción 1:5, en áreas planas.		
GC16BA	Muro de tabique rojo recocido de 7 cm de espesor, acabado común, en áreas planas.	m2	264.59
GC16BB	Muro de tabique rojo recocido de 14 cm de espesor, acabado común, en áreas planas.	m2	466.45
GC16BC	Muro de tabique rojo recocido de 21 cm de espesor, acabado común, en áreas planas.	m2	642.72
GC16BD	Muro de tabique rojo recocido de 28 cm de espesor, acabado común, en áreas planas.	m2	827.17
GC16C	Muros de tabique rojo recocido, acabado común asentados con mortero cemento-arena en proporción 1:5, en áreas curvas.		
GC16CA	Muro de tabique rojo recocido de 7 cm de espesor, acabado común, en áreas curvas.	m2	269.47
GC16CB	Muro de tabique rojo recocido de 14 cm de espesor, acabado común, en áreas curvas.	m2	474.38
GC16CC	Muro de tabique rojo recocido de 21 cm de espesor, acabado común, en áreas curvas.	m2	648.74
GC16CD	Muro de tabique rojo recocido de 28 cm de espesor, acabado común, en áreas curvas.	m2	837.74
GC16D	Muros de tabique rojo recocido, acabado común, asentados con mortero cemento-arena en proporción 1:5, en elementos pequeños.		
GC16DA	Muro de tabique rojo recocido de 7 cm de espesor, acabado común, en elementos pequeños.	m2	274.23
GC16DB	Muro de tabique rojo recocido de 14 cm de espesor, acabado común, en elementos pequeños.	m2	482.27
GC16DC	Muro de tabique rojo recocido de 21 cm de espesor, acabado común, en elementos pequeños.	m2	661.42
GC16DD	Muro de tabique rojo recocido de tabique de 28 cm de espesor, acabado común, en elementos pequeños.	m2	847.28
GC16H	Mochetas de tabique rojo recocido asentadas con mortero cemento arena en proporción 1:5.		
GC16HC	Mocheta de tabique rojo recocido de 14 cm de espesor, asentado con mortero cemento arena 1:5, acabado común.	m2	506.06
GC16HK	Mocheta de tabique rojo recocido de 14 cm de espesor, asentado con mortero cemento arena 1:5, una cara aparente.	m2	534.38
GC16HN	Mocheta de tabique rojo recocido de 14 cm de espesor, asentado con mortero cemento arena 1:5, dos caras aparentes	m2	551.80
GC17E	Muros de tabique rojo recocido, con una cara aparente, asentados con mortero cemento-arena en proporción 1:5.		
GC17EA	Muro de tabique rojo recocido de 7 cm de espesor, una cara aparente.	m2	286.77
GC17EB	Muro de tabique rojo recocido de 14 cm de espesor, una cara aparente.	m2	484.05
GC17EC	Muro de tabique rojo recocido de 21 cm de espesor, una cara aparente.	m2	677.04
GC17ED	Muro de tabique rojo recocido de 28 cm de espesor, una cara aparente.	m2	880.02
GC17F	Muros de tabique rojo recocido, con dos caras aparentes, asentados con mortero cemento-arena en proporción 1:5.		
GC17FA	Muro de tabique rojo recocido de 7 cm de espesor, dos caras aparentes.	m2	301.20
GC17FB	Muro de tabique rojo recocido de 14 cm de espesor, dos caras aparentes.	m2	494.38
GC17FC	Muro de tabique rojo recocido de 21 cm de espesor, dos caras aparentes.	m2	685.40
GC17FD	Muro de tabique rojo recocido de 28 cm de espesor, dos caras aparentes.	m2	893.40
GC17G	Muros de tabique rojo recocido, con dos caras aparentes colocado en posiciones alternadas, asentado con mortero cemento-arena en proporción 1:5.		
GC17GB	Muro de tabique rojo recocido de 14 cm de espesor, dos caras aparentes.	m2	534.60
GC16J	Muros de tabique rojo recocido, acabado común, asentados con mortero cemento-arena en proporción 1:5, en áreas planas.		
GC16JA	Muro de tabique rojo recocido de 5.5 cm de espesor, acabado común, en áreas planas.	m2	233.91
GC16JB	Muro de tabique rojo recocido de 11.5 cm de espesor, acabado común, en áreas planas.	m2	387.62
GC16JC	Muro de tabique rojo recocido de 17 cm de espesor, acabado común, en áreas planas.	m2	533.20
GC16JD	Muro de tabique rojo recocido de 23.5 cm de espesor, acabado común, en áreas planas.	m2	677.55
GC16K	Muros de tabique rojo recocido, acabado común, asentados con mortero cemento-arena en proporción 1:5, en áreas curvas.		
GC16KA	Muro de tabique rojo recocido de 5.5 cm de espesor, acabado común, en áreas curvas.	m2	238.79
GC16KB	Muro de tabique rojo recocido de 11.5 cm de espesor, acabado común, en áreas curvas.	m2	395.55
GC16KC	Muro de tabique rojo recocido de 17 cm de espesor, acabado común, en áreas curvas.	m2	539.22
GC16KD	Muro de tabique rojo recocido de 23.5 cm de espesor, acabado común, en áreas curvas.	m2	688.12
GC16L	Muros de tabique rojo recocido, acabado común, asentados con mortero cemento-arena en proporción 1:5, en elementos pequeños.		
GC16LA	Muro de tabique rojo recocido de 5.5 cm de espesor, acabado común, en elementos pequeños.	m2	243.54
GC16LB	Muro de tabique rojo recocido de 11.5 cm de espesor, acabado común, en elementos pequeños.	m2	403.44
GC16LC	Muro de tabique rojo recocido de 17 cm de espesor, acabado común, en elementos pequeños.	m2	551.91
GC16LD	Muro de tabique rojo recocido de tabique de 23.5 cm de espesor, acabado común, en elementos pequeños.	m2	697.66
GC16M	Mochetas de tabique rojo recocido, asentadas con mortero cemento arena en proporción 1:5.		
GC16MC	Mocheta de tabique rojo recocido de 11.5 cm de espesor, asentado con mortero cemento arena 1:5, acabado común.	m2	427.23
GC16MK	Mocheta de tabique rojo recocido de 11.5 cm de espesor, asentado con mortero cemento arena 1:5, una cara aparente.	m2	455.55
GC16MN	Mocheta de tabique rojo recocido de 11.5 cm de espesor, asentado con mortero cemento arena 1:5, dos caras aparentes	m2	472.97
GC17B	Muros de tabique rojo recocido, con una cara aparente, asentados con mortero cemento-arena en proporción 1:5.		
GC17BA	Muro de tabique rojo recocido de 5.5 cm de espesor, una cara aparente.	m2	256.08
GC17BB	Muro de tabique rojo recocido de 11.5 cm de espesor, una cara aparente.	m2	405.22
GC17BC	Muro de tabique rojo recocido de 17 cm de espesor, una cara aparente.	m2	567.52
GC17BD	Muro de tabique rojo recocido de 23.5 cm de espesor, una cara aparente.	m2	710.09
GC17C	Muros de tabique rojo recocido, con dos caras aparentes, asentados con mortero cemento-arena en proporción 1:5.		
GC17CA	Muro de tabique rojo recocido de 5.5 cm de espesor, dos caras aparentes.	m2	270.52
GC17CB	Muro de tabique rojo recocido de 11.5 cm de espesor, dos caras aparentes.	m2	415.55
GC17CC	Muro de tabique rojo recocido de 17 cm de espesor, dos caras aparentes.	m2	575.90
GC17CD	Muro de tabique rojo recocido de 23.5 cm de espesor, dos caras aparentes.	m2	730.43
GC17D	Muros de tabique rojo recocido, con dos caras aparentes colocado en posiciones alternadas, asentado con mortero cemento-arena en proporción 1:5.		
GC17DB	Muro de tabique rojo recocido de 11.5 cm de espesor, dos caras aparentes.	m2	455.77
GC18	Muretes de tabique rojo, aplanado interior y exterior con mortero cemento arena en proporción 1:5.		
GC18CB	Murete de tabique rojo de 11.5 cm de espesor, para base de domo de 0.60 x 0.60 x 0.60 m, aplanado en interior, exterior y chaflán.	pieza	1,216.62
GC18CC	Murete de tabique rojo de 11.5 cm de espesor, para base de domo de 0.90 x 0.90 x 0.60 m, aplanado en interior, exterior y chaflán.	pieza	1,704.04
GC18CD	Murete de tabique rojo de 11.5 cm de espesor, para base de domo de 0.90 x 1.20 x 0.60 m, aplanado en interior, exterior y chaflán.	pieza	1,950.44
GC18CE	Murete de tabique rojo de 11.5 cm de espesor, para base de domo de 0.90 x 2.40 x 0.60 m, aplanado en interior, exterior y chaflán.	pieza	2,875.39
GC19	Muros de tabique junteados con mortero cemento-arena en proporción 1:5, Talamsa o similar.		
GC19BB	Muro de tabique hueco vertical de 12 cm de espesor, 2V Talamsa o similar, medidas 24 x 6 x 12 cm, junteado con mortero cemento-arena 1:5, dos caras aparentes.	m2	418.43
GC19BC	Muro de tabique doble hueco vertical, de 12 cm de espesor 2VD Talamsa o similar, medidas 24 x 12 x 12 cm, junteado con mortero cemento arena 1:5, dos caras aparentes.	m2	431.99
GC19BD	Muro de tabique multiperforado, de 12 cm de espesor, TAS Talamsa o similar, de 24 x 6 x 12 cm, junteado con mortero cemento arena 1:5, dos caras aparentes.	m2	474.12
GC19BE	Muro de tabique multiperforado doble, de 12 cm de espesor, TASD Talamsa o similar medidas, 24 x 12 x 12 cm junteado con mortero cemento arena 1:5 dos caras aparentes.	m2	454.18
GC19BF	Muro de tabique de 12 cm de espesor 2VESF Talamsao similar, medidas 24 x 6 x 12 cm, junteado con mortero cemento arena 1:5.	m2	471.41
GC19BG	Muro de tabique de 12 cm de espesor, TSAA Talamsa o similar, medidas, 24 x 12 x 12 cm junteado con mortero cemento arena 1:5.	m2	450.13
GC22	Muros de tabique de barro rojo natural.		
GC22B	Muros de tabique de barro natural junteado con mortero cemento-arena 1:4, incluye: castillos ahogados a cada 90 cm de concreto f'c= 200 kg/cm2 y una varilla no. 2.5, Santa Julia o similar.		
GC22BB	Muro de tabique de 10 cm de espesor, aparente dos caras, natural, color terracota, Santa Julia o similar, medidas 20 x 10 x 10 cm	m2	1,353.73
GC22BC	Muro de tabique de 12 cm de espesor, aparente dos caras, natural color terracota, Santa Julia o similar, medidas 24 x 12 x 6 cm	m2	1,482.16
GC22BD	Muro de tabique de 14 cm de espesor, aparente dos caras, natural color terracota, Santa Julia o similar, medidas 20 x 14 x 10 cm	m2	1,732.90
GC22C	Muros de tabique esmaltado junteado con mortero cemento-arena 1:4, incluye: castillos ahogados a cada 90 cm de concreto f'c= 200 kg/cm2 y una varilla de no. 2.5, Santa Julia o similar.		
GC22CB	Muro de tabique de 10 cm de espesor, esmaltado dos caras, colores blanco, miel, siena y pergamino, Santa Julia o similar, medidas 20 x 10 x 10 cm	m2	2,858.62
GC22CC	Muro de tabique de 12 cm de espesor, esmaltado dos caras, colores blanco, miel, siena y pergamino, Santa Julia o similar, medidas 24 x 12 x 6 cm	m2	1,872.17
GC22CD	Muro de tabique de 14 cm de espesor, esmaltado dos caras, colores blanco, miel, siena y pergamino, Santa Julia o similar, medidas 20 x 14 x 10 cm	m2	2,123.47
GC22D	Muros de tabique de barro extruido junteado con mortero-cemento-arena 1:4, incluye: castillos ahogados a cada 90 cm, de concreto r.n. f'c= 200 kg/cm2 y una varilla del No. 2.5, Novaceramic o similar.		
GC22DB	Muro de tabique de 12 cm de espesor, vintex-6 acabado rojo natural, Novaceramic o similar, medidas 6 x 12 x 24 cm	m2	494.08
GC22DC	Muro de tabique de 12 cm de espesor, vintex-12 acabado rojo natural, Novaceramic o similar, medidas 12 x 12 x 24 cm	m2	428.03
GC22DJ	Muro de tabique de 12 cm de espesor, vintex-12 acabado natural color ocre, Novaceramic o similar, medidas 12 x 12 x 24 cm	m2	428.03
GC22DL	Muro de tabique de 12 cm de espesor, vintex-6 acabado esmaltado, Novaceramic o similar, medidas 6 x 12 x 24 cm	m2	494.08
GC22F	Muros de tabique Talavera junteado con mortero cemento-arena 1:5, incluye: castillos ahogados a cada 90 cm de concreto f'c= 200 kg/cm2 y una varilla no. 2.5, Santa Julia o similar.		
GC22FB	Muro de tabique de 10 cm de espesor, aparente dos caras, Talavera Santa Julia o similar, medidas 20 X 10 X 10 cm	m2	1,718.19
GC22FC	Muro de tabique de 12 cm de espesor, aparente dos caras, Talavera Santa Julia o similar, medidas 24 X 12 X 6 cm	m2	1,872.17
GC22FD	Muro de tabique de 14 cm de espesor, aparente dos caras, Talavera Santa Julia o similar, medidas 20 X 14 X 10 cm	m2	2,123.47
GC23	Muros de concreto, junteado con mortero cemento arena 1:5 acabado aparente, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GC23CB	Muro de block de concreto de 12 cm de espesor, BH12(2) medidas 12 x 12 x 24 cm.	m2	406.39
GC23CC	Muro de block de concreto de 12 cm de espesor, BH12 ligero (2) medidas 12 x 20 x 24 cm.	m2	441.37
GC23CD	Muro de block de concreto liso de 10 cm de espesor, medidas 10 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	321.32
GC23CE	Muro de block de concreto ligero 10 cm de espesor medidas 10 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	354.04
GC23CI	Muro de block de concreto liso de 12 cm de espesor, medidas 12 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	334.28
GC23CJ	Muro de block de concreto liso ligero, de 12 cm de espesor, medidas 12 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	356.57
GC23CN	Muro de block de concreto liso de 15 cm de espesor, medidas 15 x 20 x 40 cm con refuerzo horizontal a cada dos hiladas.	m2	372.70
GC23NO	Muro de block de concreto liso ligero de 15 cm de espesor, medidas 15 x 20 x 40 cm con refuerzo horizontal a cada dos hiladas.	m2	392.87
GC24	Muros de block de concreto tipo intermedio acabado aparente, junteado con mortero cemento-arena en proporción 1:5, Duroblock o similar.		
GC24CB	Muro de block de concreto tipo intermedio, de 10 cm de espesor, medidas 10 x 20 x 40, con refuerzo horizontal a cada dos hiladas.	m2	321.67
GC24CE	Muro de block de concreto tipo intermedio, de 12 cm de espesor, medidas 12 x 20 x 40, con refuerzo horizontal a cada dos hiladas.	m2	334.33
GC24CJ	Muro de block de concreto tipo intermedio, de 15 cm de espesor, medidas 15 x 20 x 40, con refuerzo horizontal a cada dos hiladas.	m2	372.70
GC25	Muros de block de concreto tipo "pesado" acabado aparente, junteados con mortero cemento-arena en proporción 1:5, de Duroblock o similar.		
GC25CC	Muro de block de concreto tipo pesado, de 10 cm de espesor, medidas 10 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	325.73
GC25CE	Muro de block de concreto tipo pesado, de 12 cm de espesor, medidas 12 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	346.15
GC25CJ	Muro de block de concreto tipo pesado, de 15 cm de espesor, medidas 15 x 20 x 40 cm, con refuerzo horizontal a cada dos hiladas.	m2	374.98
GC27	Pasos en muros para instalaciones.		
GC27BD	Ranura en muro de tabique para tubería, de sección 5 x 5 cm	m	55.82
GC27E	Registro en muros de tabique, incluye: abrir con cincel y maceta, emboquillado interior con mortero cemento-arena en proporción 1:5.		
GC27EB	Registro para cuadro de válvula de control de instalaciones en muro de tabique de 0.30 x 0.60 m de sección.	pieza	235.11
GC28	Pretiles.		
GC28B	Fabricación de pretil a base de tabique rojo recocido de 14 cm de espesor y repisón de 40 x 15 cm de espesor, con concreto resistencia normal f'c= 150 kg/cm2, armado con 4 varillas del No. 3 y estribos del No. 2 a cada 20 cm, acabado aplanado serroteado ambas caras.		
GC28BB	Pretil a base de tabique rojo recocido de 11.5 cm de espesor y de 0.85 m de altura, incluye cadena de concreto armado, acabado aplanado serroteado ambas caras.	m	727.28
GC29	Muros de placas prefabricadas.		
GC29B	Suministro y colocación de tablaroca de 13 mm de espesor, para muro de 67 mm de espesor, acabado dos caras, con bastidor a base de canal y poste de lámina calibre 26 de 41 mm a cada 60 cm.		
GC29BB	Muro de tablaroca Firecode x o similar, de 67 mm de espesor, acabado dos caras con placas de 13 mm de espesor.	m2	370.79
GC29C	Suministro y colocación de tablaroca, de 13 mm de espesor, para muro de 90 mm de espesor, acabado dos caras, con bastidor a base de canal y poste de lámina calibre 26, de 64 mm a cada 60 cm.		
GC29CB	Muro de tablaroca Firecode x o similar, de 90 mm de espesor, acabado dos caras con placas de 13 mm de espesor.	m2	390.21
GC29D	Suministro y colocación de tablaroca de 13 mm de espesor, para muro de 118 mm de espesor, acabado dos caras, con bastidor a base de canal y poste de lámina calibre 26 de 92 mm a cada 60 cm.		
GC29DB	Muro de tablaroca Firecode x o similar, de 118 mm de espesor, acabado dos caras con placas de 13 mm de espesor.	m2	405.19
GC30	Refuerzos en muros.		
GC30BB	Refuerzo horizontal para muro con una varilla de 7.94 mm (5/16") de diámetro ahogada en la junta de mortero.	m	12.76
GC31	Castillos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.07.		
GC31B	Castillos de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogados en muros de tabique o block hueco vertical de hasta 10 cm de espesor, incluye: varilla.		
GC31BB	Castillo de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogado con una varilla de 7.94 mm (5/16") de diámetro.	m	51.87
GC31BC	Castillo de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogado con una varilla de 9.52 mm (3/8") de diámetro.	m	55.66
GC31D	Castillos de concreto hidráulico fraguado normal, resistencia f´c = 200 kg/cm2, ahogados en muro de tabique o block hueco vertical de 10.5 cm a 12 cm de espesor, incluye: varilla.		
GC31DB	Castillo de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogado con una varilla de 7.94 mm (5/16") de diámetro.	m	59.45
GC31DC	Castillo de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogado con una varilla de 9.52 mm (3/8") de diámetro.	m	63.24
GC31G	Castillos de concreto hidráulico fraguado normal resistencia f´c= 200 kg/cm2, ahogados en muros de tabique o block hueco vertical de 15 cm de espesor de 0.01 a 3.00 m de altura.		
GC31GB	Castillo de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogado, con una varilla de 9.52 mm (3/8") de diámetro,para muros de 15 cm de espesor.	m	72.92
GC31H	Castillos de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2, ahogados en muros de tabique o block hueco vertical de 20 cm de espesor, de 0.01 a 3.00 m de altura.		
GC31HC	Castillo de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2 ahogado con una varilla de 9.52 mm (3/8") de diámetro, para muros de 20 cm de espesor.	m	102.33
GC31J	Castillos de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2 reforzado con cuatro varillas de 9.52 mm (3/8") de diámetro, en muros de tabique o block.		
GC31JB	Castillo de concreto hidráulico fraguado normal, resistencia f´c = 200 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común dos caras, incluye: cimbra y descimbra, armado, colocación, vibrado y curado hasta 4.00 m de altura, sección de 12 x 15 cm.	m	251.78
GC31JC	Castillo de concreto hidráulico fraguado normal, resistencia f´c = 200 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común dos caras, incluye: cimbra y descimbra, armado, colocación, vibrado y curado hasta 4.00 m de altura, sección de 15 x 15 cm.	m	273.39
GC31JD	Castillo de concreto hidráulico fraguado normal, resistencia f´c = 200 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común dos caras, incluye: cimbra y descimbra, armado, colocación, vibrado y curado hasta 4.00 m de altura, sección de 15 x 20 cm.	m	308.70
GC31K	Dalas de concreto hidráulico fraguado normal, resistencia f´c= 200 kg/cm2 reforzado cuatro varillas de 9.52 mm (3/8") de diámetro, en muros de tabique o block.		
GC31KD	Dala de concreto hidráulico fraguado normal resistencia f´c = 200 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común, incluye: cimbra y descimbra, armado, colocación, vibrado y curado, sección de 15 x 20 cm.	m	313.43
GC31KE	Dala de concreto hidráulico fraguado normal resistencia f´c = 150 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común, incluye: cimbra y descimbra, armado, colocación, vibrado y curado, sección de 20 x 20 cm.	m	375.56
GC31KF	Dala de concreto hidráulico fraguado normal resistencia f´c = 150 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común, incluye: cimbra y descimbra, armado, colocación, vibrado y curado, sección de 20 x 25 cm.	m	435.62
GC31L	Cadenas de cerramiento de concreto hidráulico fraguado normal, resistencia f´c=200 kg/cm2 reforzado con cuatro varillas de 9.52 mm (3/8") de diámetro, en muros de tabique o block.		
GC31LC	Cadena de concreto hidráulico fraguado normal, resistencia f´c = 200 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común dos caras, incluye: cimbra y descimbra, armado, colocación, vibrado y curado, sección de 15 x 15 cm.	m	273.39
GC31LD	Cadena de concreto hidráulico fraguado normal, resistencia f´c=200 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común dos caras, incluye: cimbra y descimbra, armado, colocación, vibrado y curado, sección de 15 x 20 cm.	m	313.43
GC31LE	Cadena de concreto hidráulico fraguado normal, resistencia f´c = 150 kg/cm2 reforzado con 4 varillas de 9.52 mm (3/8") y estribos de 6.35 mm (1/4") de diámetro @ 20 cm, acabado común dos caras, incluye: cimbra y descimbra, armado, vaciado, colocación y curado, sección de 15 x 25 cm.	m	378.23
GC32	Anclaje de varillas para castillos ahogados.		
GC32B	Anclaje de varillas para castillos ahogados a estructura, incluye: demolición, tramo de varilla amarrada al armado de estructura, resane con concreto a cualquier nivel, únicamente para trabajos de rehabilitación.		
GC32BB	Anclaje de varilla de 9.52 mm (3/8") de diámetro y 0.50 m de longitud, con concreto hidráulico resistencia normal f´c=200 kg/cm2.	pieza	93.21
GC32C	Anclaje de varillas para castillos ahogados a estructura, incluye: demolición, tramo de varilla soldada al armado de estructura, resane con concreto a cualquier nivel, únicamente para los trabajos de rehabilitación.		
GC32CB	Anclaje de varilla de 13 mm (1/2") de diámetro y 0.50 m de longitud con concreto hidráulico resistencia normal f´c=200 kg/cm2.	pieza	86.52
GC34	Impermeabilización en desplante de muros. Norma de Construcción de la Administración Pública de la Ciudad de México .3.01.02.045.		
GC34B	Impermeabilización en desplante de muros, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GC34BB	Impermeabilización en desplante de muro de 21 cm de espesor, a base de una capa de microlastic y una película de polietileno de 40 cm de ancho.	m	44.26
GC34DB	Impermeabilización de corona de cimentación de 18 cm de ancho en desplante de muro, a base de un primario Impercoat S, dos capas de Impercoat Vapor Wet en proporción de 0.10 l/m por capa, intercalando una capa de Vitronova Imperdala, Imperquimia o similar.	m	40.96
GE	Falso plafón, incluye: el suministro de los materiales, la mano de obra para el habilitado, armado, colocación, fijación, andamios, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.039.		
GE12B	Suministro y colocación de tablaroca, de 13 mm de espesor, en plafón suspendido con alambre galvanizado de No. 10 canal listón a cada 60 cm y canaleta de 38 mm a cada 1.22 m en un sentido, incluye todo lo necesario para su correcta ejecución.		
GE12BB	Suministro y colocación de tablaroca, de 13 mm en plafón.	m2	333.86
GE12C	Hueco en plafón de tablaroca para alojar lámpara, reforzando el perímetro con canal de amarre, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GE12CB	Huecos de 30 x 30 cm en tablaroca.	pieza	130.33
GE12D	Hueco en plafón de tablaroca para alojar registros, reforzando el perímetro con canal de amarre, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GE12DB	Hueco de 60 x 60 cm en tablaroca, reforzando el perímetro con canal de amarre.	pieza	213.98
GE12DC	Hueco de 80 x 80 cm en tablaroca, refuerzo perimetral de canal poste de 92 mm, colgantes a losa, contramarco de te de aluminio 3.17 x 25.4 mm tapa de tablaroca con marco de ángulo de 3.17 x 25.4 mm	pieza	483.50
GE12DD	Hueco de 1.00 x 1.00 m en tablaroca, refuerzo de ángulo de aluminio para tapa, panel de madera con bastidor de 25 mm en perímetro y peinazos a cada 33 cm, forro de triplay de 6 mm y contramarco de aluminio 1.59 x 25.4 mm.	pieza	632.65
GE12E	Suministro y colocación de plafón termo-acústico Ligerplag, RIHO o similar.		
GE12EB	Suministro y colocación de plafón termo-acústico Ligerplac, modelo Brasilia, de RIHO o similar.	m2	321.83
GE12ED	Suministro y colocación de plafón termo-acústico Ligerplac, modelo Mediterráneo Sol, de RIHO o similar.	m2	321.83
GE12EH	Suministro y colocación de plafón termo-acústico Ligerplac, modelo Rihotone, de RIHO o similar	m2	321.83
GE12EK	Suministro y colocación de plafón termo-acústico Ligerplac, modelo Mimbrex fino, de RIHO o similar	m2	343.45
GE12H	Suministro e instalación de plafón registrable de lana mineral, OW Acoustíc o similar		
GE12HB	Suministro e instalación de plafón de lana mineral, modelo Smart Futura de 0.61 x 0.61 m, clase A2S1D0 marca OWAcoustic o similar	m2	490.36
GE12HD	Suministro e instalación de plafón de lana mineral, modelo Smart Finetta de 0.61 x 0.61 m, clase A2S1D0 marca OWAcoustic o similar.	m2	502.36
GE12HG	Suministro e instalación de plafón de lana mineral, modelo Premium Sandila Micro de 0.61 x 0.61 m, clase A2S1D0 marca OWAcoustic o similar.	m2	530.72
GE12HJ	Suministro e instalación de plafón registrable, modelo SIRIUS S3 con NRC=0.65 reacción al fuego clase "A", de 0.61 x 0.61 m, marca OWA DECO o similar	m2	429.49
GE12HK	Suministro e instalación de plafón registrable, modelo COMET S3 con NRC=0.65 reacción al fuego clase "A", de 0.61 x 0.61 m, marca OWA DECO o similar	m2	429.46
GE13	Fabricación de cajillo de tablaroca, armada con canaleta de carga de lámina negra calibre 20, canal listón y esquinero metálico, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
GE13BB	Fabricación de cajillo de tablaroca, de 0.15 m.	m	266.25
GE13C	Fabricación de cajillo en tablaroca de 0.15 m de ancho con bastidor de poste y canal listón de lámina galvanizada 22 a cada 40 cm. incluye: todo lo necesario para su correcta ejecución.		
GE13CB	Fabricación de cajillo vertical de 0.15 m de ancho para tubo de bajada de aguas pluviales, en escuadra de 0.40 x 0.40 m, no incluye esquinero.	m	407.03
GE13D	Fabricación de cajillo para domo a base de bastidor metálico con canaleta de lámina negra no. 20 y canal listón galvanizado No. 22 a cada 30 cm en sentido vertical, forrado con tablaroca y esquinero en el perímetro interior.		
GE13DB	Fabricación de cajillo para domo, con bastidor metálico y forro de tablaroca de 13 mm, con sección de 0.70 x 0.70 x 0.90 m.	pieza	1,472.35
GF12	Suministro y colocación de malla ciclónica galvanizada, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.02.018.		
GF12B	Suministro y colocación de malla ciclónica galvanizada, abertura de 55 x 55 mm.		
GF12BB	Suministro y colocación de malla ciclónica galvanizada, calibre núm. 10.5 y abertura de 55 x 55 mm, para cercas.	m2	94.54
GF12BG	Suministro y colocación de malla ciclónica galvanizada, calibre núm. 11 y abertura de 55 x 55 para cercas.	m2	86.06
GF12BK	Suministro y colocación de malla ciclónica galvanizada calibre 12.5 y abertura de 55 x 55 mm, para cercas.	m2	64.98
GF13	Suministro y colocación de poste para cerca de malla galvanizada, incluye: los materiales, la mano de obra, la herramienta y el equipo necesarios.		
